Sujeto,Condicion,Canal,Potencia_Mu,Potencia_Beta
S071,real,C3,2.380793656473005e-06,6.758981365405995e-07
S071,real,C4,1.7151823983237792e-06,5.350884228445686e-07
S071,real,Cz,2.223909303111386e-06,6.600931855984001e-07
S071,imaginacion,C3,2.445954811499998e-06,6.873036048224248e-07
S071,imaginacion,C4,1.652243151131276e-06,5.067990036899819e-07
S071,imaginacion,Cz,2.348167771811691e-06,6.498777335308152e-07
S072,real,C3,8.773500641351429e-08,2.4298442818751677e-08
S072,real,C4,7.785558885636211e-08,1.9801068774595174e-08
S072,real,Cz,5.702542402069289e-08,2.3060015827119994e-08
S072,imaginacion,C3,1.3682518330717685e-07,2.6045395625879096e-08
S072,imaginacion,C4,8.441283848483349e-08,2.093754288310907e-08
S072,imaginacion,Cz,6.967833549084957e-08,2.2511972204809054e-08
S073,real,C3,2.488978558749833e-07,8.340369706636202e-08
S073,real,C4,1.558925169031364e-07,6.404115838775373e-08
S073,real,Cz,2.314520763038495e-07,7.415376164038602e-08
S073,imaginacion,C3,2.7036946060766276e-07,8.454867372552427e-08
S073,imaginacion,C4,1.6235978966390065e-07,6.813853261541839e-08
S073,imaginacion,Cz,2.4252401836679e-07,7.61054626985192e-08
S074,real,C3,2.679512764364962e-07,2.2371362523146555e-07
S074,real,C4,2.1766286399305353e-07,1.337237288884402e-07
S074,real,Cz,2.7977111256285936e-07,2.2177722086144483e-07
S074,imaginacion,C3,2.69170055148902e-07,1.7715473231924445e-07
S074,imaginacion,C4,2.2446653830308508e-07,1.499950287299859e-07
S074,imaginacion,Cz,3.3204102215726025e-07,2.545382513137623e-07
S075,real,C3,5.127767630263534e-06,1.3673018877198793e-06
S075,real,C4,3.6029669555140822e-06,8.505242986636336e-07
S075,real,Cz,5.9769470886740985e-06,1.2477751852606384e-06
S075,imaginacion,C3,6.726408708865755e-06,1.515172750159143e-06
S075,imaginacion,C4,4.5061108439382215e-06,9.231321734405906e-07
S075,imaginacion,Cz,7.242757991192142e-06,1.226243372831241e-06
S076,real,C3,1.8659340510253508e-07,1.481847891318412e-07
S076,real,C4,1.6800241577668323e-07,1.2632993375185388e-07
S076,real,Cz,1.8332549932865788e-07,1.1925411942664356e-07
S076,imaginacion,C3,1.6240915853738348e-07,1.5560668003590737e-07
S076,imaginacion,C4,1.4253920981334258e-07,1.399236100421845e-07
S076,imaginacion,Cz,1.5442700903486919e-07,1.282559679112505e-07
S077,real,C3,2.330199774955054e-06,7.979857550533668e-07
S077,real,C4,1.9140523770044308e-06,6.268564702554147e-07
S077,real,Cz,2.407834276310049e-06,7.601385204187541e-07
S077,imaginacion,C3,3.377297211508764e-06,8.93762792321078e-07
S077,imaginacion,C4,2.9931782722182727e-06,8.137687678183266e-07
S077,imaginacion,Cz,3.8563159379629786e-06,9.56661267612243e-07
S078,real,C3,1.164985957760014e-06,2.754987943595354e-07
S078,real,C4,1.2626040035161798e-06,1.35653969318832e-07
S078,real,Cz,1.5210187228099004e-06,1.6151296885892102e-07
S078,imaginacion,C3,1.1913487160120196e-06,1.391597227147589e-07
S078,imaginacion,C4,1.2952736535983116e-06,1.2028078894174215e-07
S078,imaginacion,Cz,1.538585302700613e-06,1.3753082632958382e-07
S079,real,C3,5.147886203606712e-06,1.657211615149507e-06
S079,real,C4,4.055536752280338e-06,1.1495865429925202e-06
S079,real,Cz,5.377400409537914e-06,1.4452028442618409e-06
S079,imaginacion,C3,5.160593869438538e-06,1.6135922622876805e-06
S079,imaginacion,C4,3.727093590498822e-06,1.1631177244559734e-06
S079,imaginacion,Cz,5.089377851983995e-06,1.463574385725529e-06
S080,real,C3,1.1198424095945263e-06,4.1176817650713794e-07
S080,real,C4,7.552942470898407e-07,2.556497034556139e-07
S080,real,Cz,1.128683636615034e-06,3.7167135919595604e-07
S080,imaginacion,C3,1.023870446234865e-06,3.9422108105097836e-07
S080,imaginacion,C4,6.728503377240112e-07,2.467188296307134e-07
S080,imaginacion,Cz,9.915946506375395e-07,3.5551567031899876e-07
S081,real,C3,4.812366557416658e-07,1.0208734236811161e-07
S081,real,C4,4.480849909156587e-07,9.087983226305514e-08
S081,real,Cz,4.3228637217414593e-07,8.6439875290842e-08
S081,imaginacion,C3,5.467092573620418e-07,1.3815046786591286e-07
S081,imaginacion,C4,4.889381457553461e-07,1.198059954642919e-07
S081,imaginacion,Cz,4.723117028676394e-07,1.1418518661565928e-07
S082,real,C3,2.523680457354795e-06,3.948360492573649e-07
S082,real,C4,2.4176703468980908e-06,3.576790555785873e-07
S082,real,Cz,2.470545822335579e-06,3.5849377222053286e-07
S082,imaginacion,C3,2.2858825948031064e-06,3.449001947062423e-07
S082,imaginacion,C4,2.4739183108169153e-06,3.7082406012712556e-07
S082,imaginacion,Cz,2.4394181767679118e-06,3.3246584159236695e-07
S083,real,C3,4.387173001536166e-06,1.2366712633697674e-06
S083,real,C4,3.1906362338480266e-06,7.637488508101983e-07
S083,real,Cz,4.438488022487869e-06,1.0612763347424657e-06
S083,imaginacion,C3,4.147996645810091e-06,1.5000509637901548e-06
S083,imaginacion,C4,3.0852647774055246e-06,9.528806896169471e-07
S083,imaginacion,Cz,4.720175438172805e-06,1.29846437433571e-06
S084,real,C3,3.0693028370017847e-06,4.975366023168317e-07
S084,real,C4,2.4858035037818666e-06,3.9523244680104727e-07
S084,real,Cz,2.9455646367145416e-06,4.4624779563626697e-07
S084,imaginacion,C3,4.246342589771209e-06,5.089206426548878e-07
S084,imaginacion,C4,2.920902121033668e-06,3.652780331275643e-07
S084,imaginacion,Cz,3.57972624753955e-06,4.816410297331767e-07
S085,real,C3,5.562412905071541e-07,1.8422150820116843e-07
S085,real,C4,6.991278427705817e-07,2.1097405580093848e-07
S085,real,Cz,6.268311956349637e-07,1.7606628725113036e-07
S085,imaginacion,C3,1.2099676826915653e-06,1.9539681293761107e-07
S085,imaginacion,C4,1.119413691086569e-06,2.1719652521166735e-07
S085,imaginacion,Cz,8.617388803517248e-07,1.8523291726541e-07
S086,real,C3,1.4540521141171903e-06,6.535799135314514e-07
S086,real,C4,1.3338244059566049e-06,5.042317624030556e-07
S086,real,Cz,1.4972637127131549e-06,5.777048030931201e-07
S086,imaginacion,C3,1.63272911608622e-06,6.114130056108708e-07
S086,imaginacion,C4,1.5057138971802964e-06,5.430428195741548e-07
S086,imaginacion,Cz,1.7735829498606028e-06,5.464821010201284e-07
S087,real,C3,2.967290297739291e-06,1.0788778860465508e-06
S087,real,C4,2.1052181135798806e-06,8.593418975162001e-07
S087,real,Cz,2.880887159231426e-06,1.0179972142796501e-06
S087,imaginacion,C3,2.9474334452591815e-06,1.0958572598745503e-06
S087,imaginacion,C4,2.4741242519397828e-06,9.614930170292013e-07
S087,imaginacion,Cz,3.177061942146031e-06,1.0961818626527169e-06
S088,real,C3,1.7338006869589148e-06,4.627370212673683e-07
S088,real,C4,1.2138341385029155e-06,3.5620073311348684e-07
S088,real,Cz,1.542662461132708e-06,4.152298713323002e-07
S088,imaginacion,C3,1.5586097199377277e-06,5.76591498424949e-07
S088,imaginacion,C4,1.15871507459531e-06,4.6454289268471704e-07
S088,imaginacion,Cz,1.3945787913361717e-06,4.866237777335399e-07
S089,real,C3,6.468508851748313e-08,2.8718577063929257e-08
S089,real,C4,4.941513585076448e-08,1.929642952500943e-08
S089,real,Cz,6.866728102796266e-08,2.8645388280337492e-08
S089,imaginacion,C3,6.753155775241306e-08,2.756649585824498e-08
S089,imaginacion,C4,4.803554153865358e-08,1.9194682158335805e-08
S089,imaginacion,Cz,7.4875916754837e-08,3.118907012790139e-08
S090,real,C3,2.3741927117042257e-06,5.977919559129311e-07
S090,real,C4,1.8443665983514082e-06,3.717612483001184e-07
S090,real,Cz,2.5939361770443385e-06,4.326894135736827e-07
S090,imaginacion,C3,2.8415634466848407e-06,7.852654806689172e-07
S090,imaginacion,C4,2.808665465289467e-06,4.6030859314016087e-07
S090,imaginacion,Cz,3.43328361022207e-06,5.43441862826237e-07
S091,real,C3,3.2232948611829803e-06,1.870679255684354e-06
S091,real,C4,2.167944349079937e-06,1.039923770809906e-06
S091,real,Cz,3.223733489689229e-06,1.510998107844609e-06
S091,imaginacion,C3,3.449741711451859e-06,1.575877605237548e-06
S091,imaginacion,C4,2.177315448228262e-06,1.0890053174846695e-06
S091,imaginacion,Cz,3.3511101904767613e-06,1.5764943288053028e-06
S092,real,C3,5.732143947823797e-06,1.1342560149619338e-06
S092,real,C4,3.5690862333881704e-06,5.306168754505962e-07
S092,real,Cz,6.068061610351717e-06,8.400444931000309e-07
S092,imaginacion,C3,7.090094677579491e-06,1.1912804499373388e-06
S092,imaginacion,C4,5.634235714394568e-06,5.609834673040403e-07
S092,imaginacion,Cz,8.108905708041556e-06,9.108441549586898e-07
S093,real,C3,5.612918448896391e-07,1.2705750751261847e-07
S093,real,C4,3.9651144128937486e-07,8.890737226437972e-08
S093,real,Cz,5.73676301463292e-07,1.338799338849991e-07
S093,imaginacion,C3,6.577987714612971e-07,1.2650043976919467e-07
S093,imaginacion,C4,4.688434417445937e-07,9.373793947708288e-08
S093,imaginacion,Cz,6.376839735370836e-07,1.496229032019175e-07
S094,real,C3,2.2705318151422414e-06,5.221825205973696e-07
S094,real,C4,3.6966036458569702e-06,5.748907934980794e-07
S094,real,Cz,3.7576353333714332e-06,6.126646191553078e-07
S094,imaginacion,C3,3.7066776707893874e-06,6.529684154225356e-07
S094,imaginacion,C4,7.0885092594964644e-06,6.545008249107913e-07
S094,imaginacion,Cz,7.285908099150938e-06,7.769383898229462e-07
S095,real,C3,4.365424363467505e-06,1.2962974746288522e-06
S095,real,C4,4.212006653976039e-06,1.1780608514840725e-06
S095,real,Cz,5.0852450382617325e-06,1.4044225911146312e-06
S095,imaginacion,C3,3.944276925803737e-06,1.4451960633345748e-06
S095,imaginacion,C4,3.791852966124399e-06,1.3824590749463339e-06
S095,imaginacion,Cz,4.694212700723297e-06,1.5772095628377815e-06
S096,real,C3,4.203720227343899e-06,1.5451673193630125e-06
S096,real,C4,4.585869028288213e-06,1.5233564076191343e-06
S096,real,Cz,4.847123398538333e-06,1.5591956054787706e-06
S096,imaginacion,C3,3.989814270447643e-06,1.7086685813400705e-06
S096,imaginacion,C4,4.253155723078576e-06,1.889120005025068e-06
S096,imaginacion,Cz,4.805616782224611e-06,1.7408210100171023e-06
S097,real,C3,2.879140416399492e-06,7.208268649235443e-07
S097,real,C4,1.932458984951124e-06,5.375494254022192e-07
S097,real,Cz,2.6909959336729928e-06,6.60638100968832e-07
S097,imaginacion,C3,2.5534784579118118e-06,7.64168161264187e-07
S097,imaginacion,C4,1.5905276491753319e-06,5.619605830296813e-07
S097,imaginacion,Cz,2.2169969084365742e-06,6.838156236289552e-07
S098,real,C3,7.11640145419122e-07,7.435612548397252e-08
S098,real,C4,7.134581622457038e-07,6.320803987413507e-08
S098,real,Cz,8.585366333737658e-07,7.725268730496021e-08
S098,imaginacion,C3,9.85391203749349e-07,8.641746899737831e-08
S098,imaginacion,C4,9.52154384492773e-07,6.629992039526849e-08
S098,imaginacion,Cz,1.192674379981605e-06,7.614468448652723e-08
S099,real,C3,6.977349501944954e-06,2.029434041236306e-06
S099,real,C4,3.449831443181245e-06,9.78191748143341e-07
S099,real,Cz,6.137503173897358e-06,1.4535300803942174e-06
S099,imaginacion,C3,6.265228050521425e-06,2.566337434112184e-06
S099,imaginacion,C4,3.2776721498943106e-06,1.2373832772392254e-06
S099,imaginacion,Cz,5.667679443566794e-06,1.8037964038639056e-06
S100,real,C3,2.0736333166415437e-06,4.0468065214558133e-07
S100,real,C4,1.431041306612963e-06,2.804283436743623e-07
S100,real,Cz,2.604677819036489e-06,4.365712549218403e-07
S100,imaginacion,C3,3.5389963197082307e-06,5.244963147603096e-07
S100,imaginacion,C4,2.524022206828146e-06,3.873386990648496e-07
S100,imaginacion,Cz,3.581236531691431e-06,4.915892228469705e-07
S101,real,C3,1.5930147054364758e-06,6.214015542580138e-07
S101,real,C4,1.1055324389636334e-06,4.819499885945858e-07
S101,real,Cz,1.3753176079997392e-06,5.043720842312386e-07
S101,imaginacion,C3,1.6186359837757412e-06,7.327852276264964e-07
S101,imaginacion,C4,1.2088862545296881e-06,6.0137665196215e-07
S101,imaginacion,Cz,1.5049218829845525e-06,5.983132683263225e-07
S102,real,C3,2.135345542671936e-07,6.92904968271789e-08
S102,real,C4,1.4802917643106154e-07,4.9708587793429244e-08
S102,real,Cz,1.8755201587529853e-07,6.264831907170275e-08
S102,imaginacion,C3,2.2491349459749216e-07,6.344052469214262e-08
S102,imaginacion,C4,1.6668066104305328e-07,4.9760157685936086e-08
S102,imaginacion,Cz,2.1696573495323055e-07,5.5507317875800615e-08
S103,real,C3,6.884728630845952e-06,1.3722658981163272e-06
S103,real,C4,5.034968882593638e-06,8.68487371488e-07
S103,real,Cz,7.14016809401881e-06,1.2809196419926151e-06
S103,imaginacion,C3,5.938103405393494e-06,1.383123984221945e-06
S103,imaginacion,C4,4.447444978404614e-06,9.211504289164327e-07
S103,imaginacion,Cz,5.899626008552425e-06,1.4074595186172492e-06
S104,real,C3,2.0079998177358926e-06,3.3195176547113524e-07
S104,real,C4,2.0595294789171863e-06,3.003183933779555e-07
S104,real,Cz,2.3574087562895443e-06,3.288396362069668e-07
S104,imaginacion,C3,1.0800698255931483e-06,2.296918919433697e-07
S104,imaginacion,C4,1.1664567592426346e-06,2.4215554702670307e-07
S104,imaginacion,Cz,1.3397320416992851e-06,2.6534515982879404e-07
S105,real,C3,1.1981459605988742e-06,2.1893204630896601e-07
S105,real,C4,8.32377543404261e-07,1.8283992680874527e-07
S105,real,Cz,1.0884093683909465e-06,2.3173621511270574e-07
S105,imaginacion,C3,1.0375343133577593e-06,2.113328806859027e-07
S105,imaginacion,C4,8.079850802060898e-07,1.8659482526043284e-07
S105,imaginacion,Cz,9.4052521740773e-07,2.1830847293870684e-07
S106,real,C3,2.5565816185498856e-06,4.807651254038235e-07
S106,real,C4,2.815006265522742e-06,4.6017848793324025e-07
S106,real,Cz,3.600219769550727e-06,5.981094278538844e-07
S106,imaginacion,C3,2.4073550955913623e-06,4.78571254060019e-07
S106,imaginacion,C4,3.2496404263692057e-06,4.5945879009147703e-07
S106,imaginacion,Cz,4.124895324709008e-06,6.199796963243426e-07
S107,real,C3,5.885872096674664e-06,1.0406771220015338e-06
S107,real,C4,3.6860602331033603e-06,6.503168979753001e-07
S107,real,Cz,5.472711600504972e-06,8.257260861928384e-07
S107,imaginacion,C3,5.472189856345246e-06,8.780123642594545e-07
S107,imaginacion,C4,3.560767190380822e-06,5.964335205394761e-07
S107,imaginacion,Cz,5.398943919571854e-06,7.620554247262827e-07
S108,real,C3,2.281191281023185e-06,5.080880128673182e-07
S108,real,C4,1.824381705978446e-06,3.588329216072935e-07
S108,real,Cz,2.479743722763881e-06,4.537915053446239e-07
S108,imaginacion,C3,3.165929000874459e-06,6.868346363827172e-07
S108,imaginacion,C4,2.145645976639984e-06,4.692985027037329e-07
S108,imaginacion,Cz,2.290329347878917e-06,5.39763148281201e-07
S109,real,C3,7.298341650217931e-07,3.036735787418472e-07
S109,real,C4,0.00011089220540164575,3.4905749105474604e-05
S109,real,Cz,8.349026026450817e-07,3.138154905282862e-07
S109,imaginacion,C3,9.601255770668235e-07,2.9551860258406204e-07
S109,imaginacion,C4,0.00010896667951764089,3.0763353689486604e-05
S109,imaginacion,Cz,1.048674578170177e-06,3.157147502455342e-07
